text,joy,trust,fear,surprise,sadness,disgust,anger,anticipation,love,worried,disappointed,proud,embarrassed,jealous,calm,excited
"Lần đầu mua loa mini để bàn nhận về đẹp hơn mình tưởng, dùng thử một lúc đã thấy rất hài lòng nên chắc mình sẽ theo dõi thêm.",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"Tui thấy Dùng mền mỏng mùa hè vài ngày thấy ổn định, không lỗi vặt nên mình khá an tâm luôn.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Mình đặt thử Đặt bát ăn cho mèo lần này quá đáng tiền, giao đúng món và đóng gói sạch sẽ nhưng giá này vẫn chấp nhận được.",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"giày sandal nhận về đẹp hơn mình tưởng, dùng thử một lúc đã thấy rất hài lòng á.",1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"Mình đặt thử bộ ga gối dùng tạm được nhưng hoàn thiện ẩu, càng nhìn càng thấy bực",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Lần đầu mua vòng cổ thú cưng nhìn ngoài đời xinh hơn hình, mình phấn khích muốn dùng ngay lần sau chắc mình sẽ cân nhắc kỹ hơn.",1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"Bạn mình nhận xét Dùng dép bông đi nhà vài ngày thấy ổn định, không lỗi vặt nên mình khá an tâm đóng gói nhìn khá gọn.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Săn mã giảm giá xong Nhìn bạn mua kem dưỡng tay màu khác đẹp hơn mình hơi ghen, nhưng món của mình vẫn dùng ổn",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Bạn mình nhận xét máy xay sinh tố cầm tay giá mềm nên mình không đòi hỏi nhiều, nhìn chung dùng được và mình đã quay clip mở hàng.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Tui thấy Shop gói kem dưỡng tay cẩn thận, nhận hàng xong mình tin tưởng hơn nhiều và mình đã quay clip mở hàng.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Bạn mình nhận xét Đặt tai nghe chụp tai lần này quá đáng tiền, giao đúng món và đóng gói sạch sẽ luôn.",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Mẹ mình bảo sổ ghi chú làm mình bất ngờ vì nhỏ gọn hơn nghĩ, cần dùng thêm mới đánh giá chắc đóng gói nhìn khá gọn.",0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1
"Nhìn bạn mua tinh dầu phòng ngủ màu khác đẹp hơn mình hơi ghen, nhưng món của mình vẫn dùng ổn mong shop giữ chất lượng như vậy.",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Bạn mình nhận xét dây dắt thú cưng hợp nhu cầu của mình hơn dự đoán, dùng xong thấy nhẹ nhõm và vui luôn.",1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1
"Săn mã giảm giá xong lược chải chó mèo đơn giản nhưng hiệu quả, dùng lên thấy dễ chịu và bình tĩnh hơn đóng gói nhìn khá gọn.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Tui thấy bút highlight nhìn ngoài đời kém sang hơn ảnh, đem khoe với bạn hơi ngại luôn.",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Tui thấy Ban đầu mình sợ balo laptop không hợp, dùng thử rồi thấy ổn hơn tưởng nên chắc mình sẽ theo dõi thêm.",0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0
"Tui thấy ốp điện thoại trong suốt làm mình bất ngờ vì nhỏ gọn hơn nghĩ, cần dùng thêm mới đánh giá chắc luôn.",0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1
"Bạn mình nhận xét Canh sale mua được kẹp giấy màu giá tốt, cảm giác lời thật sự và mình đã quay clip mở hàng.",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Mẹ mình bảo Mở máy xay sinh tố cầm tay ra thấy mùi nhựa nồng, cảm giác khó chịu và không muốn dùng ngay á.",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Lần đầu mua sữa rửa mặt dịu nhẹ giá mềm nên mình không đòi hỏi nhiều, nhìn chung dùng được luôn.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Tui thấy ngũ cốc granola có điểm ổn nhưng vài chi tiết chưa như mong đợi, mình vừa vui vừa tiếc lần sau chắc mình sẽ cân nhắc kỹ hơn.",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Bạn mình nhận xét Mua mền mỏng mùa hè làm quà mà người nhận khen liên tục, mình thấy tự hào vì chọn đúng nhưng giá này vẫn chấp nhận được.",1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
