text,joy,trust,fear,surprise,sadness,disgust,anger,anticipation,love,worried,disappointed,proud,embarrassed,jealous,calm,excited
"Nhận máy hút bụi cầm tay xong mình cứ lo hàng bị tráo, mong shop giải thích kỹ hơn",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"Đang chờ hộp cơm inox về, review khen nhiều nhưng mình vẫn hơi lo chất lượng Có thể người khác sẽ thấy ổn hơn mình.",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Khăn ướt cho bé làm mình thích cực, càng dùng càng thấy dễ chịu, chắc sẽ gắn bó lâu",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Tai nghe bluetooth đúng mô tả, phần hoàn thiện sạch sẽ, mở ra là thấy có thiện cảm liền thiệt",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hàng về tay mới đặt bàn phím cơ mini đã mong hàng về, nhìn review thấy khá hứa hẹn",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Bỉm em bé làm mình hồi hộp lúc mở hộp, kiểm tra xong thì thở phào",0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"Mua tranh canvas rẻ hơn ngoài tiệm khá nhiều, tự hào vì lựa được deal ngon",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Đang chờ dùng thử khẩu trang đi đường, hy vọng hợp như mọi người khen nha",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Áo mưa cho chó bị lem như hàng trả lại, nhìn chán và bực mình",0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
"Giá đỡ điện thoại xe máy dùng tốt, mình thấy hãnh diện vì mua được món vừa rẻ vừa hợp",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Bạn cùng phòng mình mua bình giữ nhiệt làm quà nhưng không ưng lắm, buồn chút xíu luôn Có thể người khác sẽ thấy ổn hơn mình.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Váy hoa vừa nhận đã thấy yêu luôn, kiểu đúng món mình đang cần, dùng nhẹ nhàng dễ chịu",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Dùng bình nước thể thao vài hôm thấy mê thật, hợp nhu cầu của mình và cảm giác rất yên tâm",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Canh mã giảm giá để mua tiểu thuyết bìa mềm thành công, nhận hàng xong càng thấy lời Mình dùng cho bếp nhỏ thấy hợp.",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Vừa mở hộp bọc yên xe máy, cảm giác muốn thử ngay vì nhìn khá cuốn nha",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Đặt thử mới đặt chuột ko dây đã mong hàng về, nhìn review thấy khá hứa hẹn ghê",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Chọn ga giường cotton thay vì mẫu khác là đúng đắn, cảm giác mua hàng lần này khá tự tin luôn Có thể người khác sẽ thấy ổn hơn mình.",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Món bánh quy yến mạch này làm mình vui cả buổi, dùng một lần là mê",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"Bạn cùng phòng mình không kỳ vọng cao về nước rửa tay khô, ai dè nhận hàng lại rất ưng, vẫn dùng được nhưng không như kỳ vọng Mình dùng cho bếp nhỏ thấy hợp.",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Cát vệ sinh mèo có mùi hắc khó chịu, mở túi ra là muốn cất đi luôn á",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Cáp sạc nhanh dùng được nhưng giao lâu quá, mình sốt ruột mấy ngày liền và hơi bực",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"Dùng đèn học LED vài hôm thấy mê thật, hợp nhu cầu của mình và cảm giác rất yên tâm",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Quần jean ống rộng nhìn khác ảnh làm mình hơi quê khi khoe với mọi người,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Tui không nghĩ sẽ thích bình nước thể thao nhiều vậy, cảm giác rất hào hứng khi dùng á",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"Tui mua găng tay tập gym xong bạn mình cũng khen, còn bảo ganh tị vì săn được giá ngon",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Hàng về tay không thích mùi của đồ chơi gỗ, cảm giác hơi ghê và thất vọng",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Nhà mình không thích mùi của gương chiếu hậu, cảm giác hơi ghê và thất vọng Phần này làm mình hơi mất hứng.",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Món gương chiếu hậu này làm mình vui cả buổi, dùng một lần là mê",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"Dùng chì kẻ mày vài hôm thấy mê thật, hợp nhu cầu của mình và cảm giác rất yên tâm",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"Bạn cùng phòng mình mua túi chườm nóng mà bị móp/trầy rõ, nhắn shop chờ phản hồi nên khá tức",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
